生物质能,797.224,2.60%,6.29,4.79,1.50,23,盛运环保,10.35%,0.32
PM2.5,939.363,2.60%,18.24,16.39,1.85,32,三聚环保,10.08%,4.04
氢能源,941.27,2.60%,27.03,20.54,6.49,75,金固股份,10.10%,5.56
股权转让,550.988,2.59%,166.70,136.44,30.26,321,科达股份,10.11%,4.90
垃圾分类,995.824,2.59%,25.25,20.83,4.42,88,盛运环保,10.35%,0.32
福建自贸区,686.857,2.59%,4.42,3.68,0.75,12,厦门港务,10.08%,6.66
烟草,951.442,2.58%,5.05,4.88,0.17,16,金时科技,9.99%,15.53
固废处理,1275.8,2.58%,31.26,25.34,5.92,74,盛运环保,10.35%,0.32
眼科医疗,1133.9,2.57%,14.32,14.25,0.07,23,兴齐眼药,8.80%,114.15
一带一路,1107.29,2.57%,165.49,124.85,40.64,242,盛运环保,10.35%,0.32
健康中国,661.66,2.57%,104.85,81.22,23.63,86,小商品城,10.14%,3.80
燃料电池,837.922,2.57%,54.32,43.67,10.65,108,美克家居,10.11%,4.90
二胎概念,1503.23,2.57%,41.11,36.48,4.63,61,美盛文化,9.96%,6.07
雄安新区,744.304,2.56%,93.80,70.91,22.90,174,银龙股份,10.08%,5.35
参股保险,1058.53,2.56%,85.21,69.71,15.50,160,京运通,10.10%,4.36
航运概念,886.303,2.56%,10.91,9.39,1.52,19,华东重机,5.27%,5.79
基因测序,1641.48,2.56%,55.16,47.31,7.84,47,迪安诊断,10.00%,27.50
PPP概念,684.187,2.56%,82.92,63.26,19.66,160,盛运环保,10.35%,0.32
家用电器,1803.64,2.55%,63.89,49.96,13.93,48,惠而浦,10.07%,4.92
消毒剂,1029.78,2.54%,23.21,16.58,6.63,43,三友化工,8.39%,4.65
养老概念,1426.41,2.53%,35.01,27.46,7.55,50,同方股份,10.06%,7.66
深圳国资改革,1015.87,2.53%,11.75,9.92,1.83,50,怡亚通,10.07%,4.92
数字乡村,1133.87,2.53%,17.31,14.69,2.63,23,广电网络,5.09%,9.08
细胞免疫治疗,797.594,2.52%,23.50,16.17,7.33,26,姚记科技,10.01%,32.30
债转股,627.571,2.52%,32.47,26.70,5.77,48,海德股份,9.96%,12.58
大飞机,1422.4,2.52%,26.25,23.04,3.21,44,金财互联,10.03%,11.63
地下管网,804.744,2.52%,12.70,9.26,3.45,34,东宏股份,8.95%,17.40
冷链物流,1057.91,2.51%,27.72,23.13,4.60,37,开山股份,7.02%,11.43
信托概念,749.866,2.51%,9.38,6.64,2.75,26,茂业商业,9.95%,4.09
自由贸易港,686.815,2.51%,13.04,11.94,1.09,23,厦门港务,10.08%,6.66
超导,1593.29,2.51%,8.28,5.20,3.08,12,中天科技,4.74%,12.15
高铁,1734.14,2.50%,33.91,29.52,4.39,63,银龙股份,10.08%,5.35
互联网医疗,878.406,2.49%,106.72,74.35,32.37,78,万东医疗,9.84%,16.97
广东自贸区,876.74,2.47%,2.15,3.04,-0.89,12,格力地产,9.95%,9.39
京津冀一体化,1307.46,2.47%,22.62,16.39,6.23,56,银龙股份,10.08%,5.35
证金持股,668.949,2.43%,174.11,129.84,44.27,138,京运通,10.10%,4.36
乡村振兴,688.33,2.42%,80.84,68.88,11.96,106,三聚环保,10.08%,4.04
沪股通,1432.41,2.42%,738.74,579.52,159.22,579,美克家居,10.11%,4.90
