300459,金科文化,2.72,0.10,3.82%,2.62,2.58,2.88,2.56,2393.77万,237.58万,6.41亿,10.47
300285,国瓷材料,26.16,0.27,1.04%,25.89,25.85,26.68,25.50,2249.84万,16.41万,4.29亿,2.30
002698,博实股份,11.49,0.32,2.87%,11.17,11.19,11.57,11.02,2191.35万,9.96万,1.13亿,1.21
000582,北部湾港,9.81,0.02,0.20%,9.79,9.72,10.06,9.70,2175.13万,13.10万,1.30亿,1.03
000936,华西股份,11.22,0.20,1.82%,11.02,11.01,11.38,10.93,2160.85万,40.72万,4.56亿,4.60
002226,江南化工,5.45,0.06,1.11%,5.39,5.42,5.52,5.35,2099.43万,21.46万,1.17亿,2.24
000546,金圆股份,10.60,-0.03,-0.28%,10.63,10.57,11.01,10.54,2052.98万,17.38万,1.87亿,2.64
002292,奥飞娱乐,6.99,0.10,1.45%,6.89,6.92,7.20,6.76,2047.54万,31.50万,2.21亿,3.87
000581,威孚高科,20.37,0.25,1.24%,20.12,20.34,20.65,20.13,2011.03万,9.34万,1.91亿,1.12
002747,埃斯顿,10.82,0.05,0.46%,10.77,10.83,10.95,10.74,1905.53万,12.01万,1.30亿,1.65
002254,泰和新材,13.11,0.29,2.26%,12.82,12.83,13.13,12.79,1896.74万,6.76万,8764.44万,1.11
000861,海印股份,3.05,0.07,2.35%,2.98,2.99,3.07,2.98,1878.79万,22.66万,6888.96万,1.11
002545,东方铁塔,7.86,0.04,0.51%,7.82,7.82,7.95,7.76,1873.10万,17.31万,1.36亿,1.68
002194,武汉凡谷,21.79,1.31,6.40%,20.48,20.65,22.28,20.21,1838.28万,29.46万,6.31亿,5.98
002304,洋河股份,104.80,-0.36,-0.34%,105.16,105.10,106.30,104.00,1835.59万,5.35万,5.62亿,0.43
002266,浙富控股,4.01,0.09,2.30%,3.92,3.94,4.04,3.91,1822.06万,22.45万,8893.19万,1.37
000060,中金岭南,3.64,0.02,0.55%,3.62,3.68,3.70,3.64,1755.24万,33.15万,1.22亿,0.93
300315,掌趣科技,6.55,-0.09,-1.36%,6.64,6.61,6.82,6.53,1683.09万,68.34万,4.55亿,2.60
000990,诚志股份,12.14,0.24,2.02%,11.90,11.96,12.47,11.86,1590.40万,10.64万,1.30亿,1.28
002280,联络互动,1.88,0.06,3.30%,1.82,1.84,1.99,1.84,1495.50万,140.73万,2.71亿,7.98
300408,三环集团,21.04,-0.25,-1.17%,21.29,21.34,21.45,20.96,1487.19万,12.88万,2.73亿,0.78
002183,怡亚通,5.03,0.13,2.65%,4.90,4.97,5.15,4.87,1430.37万,96.86万,4.85亿,4.57
000685,中山公用,7.96,0.22,2.84%,7.74,7.77,8.00,7.73,1409.45万,12.93万,1.02亿,1.03
002152,广电运通,11.87,0.17,1.45%,11.70,11.79,12.10,11.53,1408.62万,88.60万,10.47亿,3.70
002372,伟星新材,12.25,0.04,0.33%,12.21,12.36,12.48,12.18,1353.75万,8.57万,1.06亿,0.61
